Id,Date,Message,Description,EntryDateTime,Status,NumberOfExchangeRates,NumberOfCrossRates
262,2005-09-19 00:00:00,,,2021-11-06 02:26:16.3207634,1,18,11
263,2005-09-20 00:00:00,,,2021-11-06 02:26:17.1115496,1,18,11
264,2005-09-21 00:00:00,,,2021-11-06 02:26:17.8849959,1,18,11
265,2005-09-22 00:00:00,,,2021-11-06 02:26:18.6831436,1,18,11
266,2005-09-23 00:00:00,,,2021-11-06 02:26:19.4516305,1,18,11
267,2005-09-24 00:00:00,Weekend,,2021-11-06 02:26:20.2742944,0,0,0
268,2005-09-25 00:00:00,Weekend,,2021-11-06 02:26:20.3029747,0,0,0
269,2005-09-26 00:00:00,,,2021-11-06 02:26:20.3311872,1,18,11
270,2005-09-27 00:00:00,,,2021-11-06 02:26:21.2023912,1,18,11
271,2005-09-28 00:00:00,,,2021-11-06 02:26:22.1217127,1,18,11
272,2005-09-29 00:00:00,,,2021-11-06 02:26:23.0559608,1,18,11
273,2005-09-30 00:00:00,,,2021-11-06 02:26:23.9650894,1,18,11
274,2005-10-01 00:00:00,Weekend,,2021-11-06 02:26:24.8013,0,0,0
275,2005-10-02 00:00:00,Weekend,,2021-11-06 02:26:24.8317821,0,0,0
276,2005-10-03 00:00:00,,,2021-11-06 02:26:24.8597298,1,18,11
277,2005-10-04 00:00:00,,,2021-11-06 02:26:25.7103663,1,18,11
278,2005-10-05 00:00:00,,,2021-11-06 02:26:26.5474045,1,18,11
279,2005-10-06 00:00:00,,,2021-11-06 02:26:27.396424,1,18,11
280,2005-10-07 00:00:00,,,2021-11-06 02:26:28.3238292,1,18,11
281,2005-10-08 00:00:00,Weekend,,2021-11-06 02:26:29.181028,0,0,0
282,2005-10-09 00:00:00,Weekend,,2021-11-06 02:26:29.2101103,0,0,0
283,2005-10-10 00:00:00,,,2021-11-06 02:26:29.2397916,1,18,11
284,2005-10-11 00:00:00,,,2021-11-06 02:26:30.1009237,1,18,11
285,2005-10-12 00:00:00,,,2021-11-06 02:26:30.9925088,1,18,11
286,2005-10-13 00:00:00,,,2021-11-06 02:26:31.8693664,1,18,11
287,2005-10-14 00:00:00,,,2021-11-06 02:26:32.7586584,1,18,11
288,2005-10-15 00:00:00,Weekend,,2021-11-06 02:26:33.6587373,0,0,0
289,2005-10-16 00:00:00,Weekend,,2021-11-06 02:26:33.6891159,0,0,0
290,2005-10-17 00:00:00,,,2021-11-06 02:26:33.7185138,1,18,11
291,2005-10-18 00:00:00,,,2021-11-06 02:26:34.6168601,1,18,11
292,2005-10-19 00:00:00,,,2021-11-06 02:26:35.5184194,1,18,11
293,2005-10-20 00:00:00,,,2021-11-06 02:26:36.4198019,1,18,11
294,2005-10-21 00:00:00,,,2021-11-06 02:26:37.3662117,1,18,11
295,2005-10-22 00:00:00,Weekend,,2021-11-06 02:26:38.2790223,0,0,0
296,2005-10-23 00:00:00,Weekend,,2021-11-06 02:26:38.3077088,0,0,0
297,2005-10-24 00:00:00,,,2021-11-06 02:26:38.3535306,1,18,11
321,2005-10-25 00:00:00,,,2021-11-06 02:30:24.6546853,1,18,11
322,2005-10-26 00:00:00,,,2021-11-06 02:30:25.6501299,1,18,11
323,2005-10-27 00:00:00,,,2021-11-06 02:30:26.0303981,1,18,11
324,2005-10-28 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:30:26.3513596,0,0,0
325,2005-10-29 00:00:00,Weekend,,2021-11-06 02:30:26.5378782,0,0,0
326,2005-10-30 00:00:00,Weekend,,2021-11-06 02:30:26.5472814,0,0,0
327,2005-10-31 00:00:00,,,2021-11-06 02:30:26.5566734,1,18,11
